prompt,beam,nucleus,bert_pref,margin
A candle and a moth became friends on a windy night.,"They played together every day and had lots of fun. The end.Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toy cars and trucks. One day, Timmy's friend Billy came over to play. Billy wanted to play with Billy too, but Timmy didn't want to share his toys with Billy.

Timmy's mom","They would run and jump and laugh. They have fun with their ball and their bellies. They pretend they are spies and go on adventures.

One day, they find a big box in the garage. They think it is a treasure. They want to try it on the table. They open it and see many toys inside. They see a big box on the table. It is shiny",beam,0.8861
A penguin wanted to learn how to dance.,"He asked his mom, ""Can you teach me how to dance?"" His mom said, ""Yes, you can teach me how to dance.""

The penguin said, ""I can teach you how to dance."" The penguin was so excited and said, ""Yes, I can teach you how to dance.""

So, the penguin and the penguin played together all day","The penguin was very excited and said, ""Yes, I want to learn how to dance!""

The penguin and the penguin became good friends. They played together every day and had lots of fun. The penguin was not sad anymore. It had a new friend.One day, a boy named Tim went to the beach. He saw many fish and birds and fish. Tim",nucleus,-0.3698
A toy train woke up in a quiet attic.,"It was very old and had many rooms. Lily and Ben liked to play with their toys. They had many toys, but their favorite was the train.

One day, they found a big box in the attic. It had many old things inside. They wanted to see what was inside. They opened the box and saw many toys inside. They were very happy.

""Wow,","It was dark outside. The wind blew hard and the snow started to fall. The wind blew hard. The snow was falling down.

Lily was sad. She asked her mom what happened. Her mom said, ""I'm sorry, sweetie. I should have listened to you."" The snowman said, ""I'm sorry, Lily. I didn't mean to hurt you.""",nucleus,-1.4330
A bee decided to explore beyond the meadow.,"As he walked through the meadow, he heard a voice.

""Hello, little bee,"" said the bee. ""What are you doing here?""

The bee replied, ""I'm looking for some honey. Would you like to come with me?""

The bee smiled and said, ""Yes, I'd love to come with you!""

So the bee and the","One day he decided to go out and explore the forest. As he entered, he saw a beautiful flower blooming in the sunshine. He was so excited that he decided to pick it up. He flew closer and saw that it was very heavy. 

The bee flew closer to the flower and he knew it was looking for a place to stay. He flew closer to the flower and looked",beam,0.6175
A paper boat drifted into the unknown ocean.,"She was so excited to see what was inside.

Suddenly, she heard a loud noise. It was coming from the sea. She was scared. She quickly ran to her mom and hugged her.

""Mommy, what's wrong?"" she asked.

""I'm sorry, sweetie. I didn't mean to hurt you,"" her mommy said.

""","It was so bright, it was so shiny and bright. She wanted to keep it safe.

One day, she went outside to find the boat. It was a very exciting day. She wanted to find out what it was. She looked everywhere, but she couldn't find it.

She looked around and saw a big tree. She had never seen it before. It was so",beam,0.5823
A robot found a flower growing inside a junkyard.,"She was so excited to see what was inside.

When she got inside, she saw that the robot had shrunk! She was so surprised that she couldn't believe her eyes. She had never seen anything like it before.

The robot was so happy to have found a new friend. She hugged the robot and thanked it for her help. From that day on, the robot and the","He was so excited! He picked it up and said, ""This is so cool!"" 

The robot smiled. He knew it was going to be an incredible adventure. He was so excited he couldn't wait to show his mom. 

When they arrived at the station, the train was very impressive. Everyone was so excited. They couldn't believe how exciting the train was.",beam,0.4415
A sandcastle dreamed of lasting forever.,"Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toys and run around outside. One day, Timmy's mom asked him to clean up his toys. Timmy didn't want to clean up his toys, but his mom said no.

Timmy didn't want to clean up his toys, so he decided to clean up his toys","Once upon a time, there was a little boy named Tim. Tim loved to play outside and explore the world around him. One day, he found a very unusual shell that he loved. It was so shiny and sparkly, and he wanted to keep it forever.

Tim asked his mom, ""Can I play with your shell, please?"" His mom said, ""No, Tim.",nucleus,-1.5928
A snail wanted to win a race against the wind.,"The snail said, ""I win! I win!""

The snail smiled and said, ""I win! I win!""

The snail smiled and said, ""You win! You win!""

The snail smiled and said, ""Thank you, snail! You are a good friend!""

The snail smiled back and said, ""You're welcome!""

The snail smiled","He was very good at finding the snail. He ran as fast as he could. He ran very fast as he could. He reached the bottom of the hill and saw his friend, the snail.

The snail saw him and stopped. He was sad and angry. He had lost his friend. He said, ""I'm sorry, snail. I should have listened to you. You are",nucleus,-0.2099
A child found a door inside a library that led to another world.,"The child was so excited to see what was inside. 

The child opened the book and inside was a beautiful book. The child was so happy and thanked the child for his help. 

The child smiled and said, ""You're welcome. I'm glad you like it."" 

The child smiled and said, ""You're welcome. I'm glad I could help","She looked at the books and saw many books. She saw a man with a big hat and a shiny bike. He said, ""Wow, look at this! It is so big and cool!""

Lily and Ben saw the man. She ran to him and said, ""Hello, sir, can I play with you?""

The man looked at them and smiled. He said",nucleus,-0.3429
A firefly wanted to write stories with its light.,"The firefly said, ""Hello, little girl. What are you doing here?"" The firefly said, ""I am looking for a firefly. I am a firefly.""

The firefly said, ""Hello, little girl. What are you doing here?"" The firefly said, ""I am looking for food. I am looking for food."" The firefly said, ""","It flew over the firefly and made a loud noise. It was a firefly! The firefly was scared of the firefly. It had eight wings and a big beak.

""Hello, firefly! We are Lila and the firefly,"" the firefly said. ""I am the firefly. I will be your friend.""

""I am sorry,",nucleus,-1.9510
A frog built a tiny rocket to visit the moon.,"He was so happy to have a new friend to play with.

One day, the rocket decided to go on an adventure. He packed his bag and set off on an adventure. He packed his bag and set off on his journey.

When he arrived, he was amazed by all the wonderful things he had seen. He couldn't believe his eyes! He had never seen anything like","The rocket was so happy and excited! It wanted to show everyone around it. The rocket was so excited to have a friend.

The rocket started to fly up the sky. It was so exciting! It flew up, up, up and up and up into the sky. It was so pretty, it made the moon feel happy and free. The moon smiled at the moon. It was",beam,0.3126
A balloon got lost and tried to find its way home.,"But it was too late. The balloon was gone forever. The end.Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toys all day long. One day, Timmy's mom asked him to clean up his toys. Timmy didn't want to clean up his toys, but he knew he had to listen to his mom.","The balloon was very sad and cried a lot.

A kind man saw the balloon and said, ""Don't worry, little girl. I will help you find your balloon."" The man took the balloon and brought it to the little girl. The man was happy and thanked the man. The man said, ""Thank you, little girl. You are very kind."" The man smiled and said",beam,0.4880
A young witch tried her very first spell.,"She tried and tried, but it was too hard. She tried and tried, but it was too hard. She tried and tried, but it was too hard. She tried and tried, but it was too hard. She tried and tried, but it was too hard. She tried and tried, but she couldn't. She felt frustrated and frustrated.

Then, she had an idea.","She said, ""Don't be scared, little girl. I will help you find your way home. You can read a book about history. Do you understand?""

The witch nodded. She said, ""Yes, I understand. But you have to learn your lesson. But I will not do it again. Goodbye, I will come back soon. I will not come back.""",nucleus,-0.4370
Two droplets raced down a window during a storm.,"The wind blew hard and the rain fell down.

""Oh no!"" said the little girl.

""Don't worry,"" said the little girl. ""I'll help you,"" said the little girl.

The little girl smiled and said, ""Thank you for helping me.""

The little girl smiled and said, ""You're welcome!""

The little girl smiled","The wind blew, and the rain was falling heavily. The rain kept pouring and the birds were happy again. They waved their umbrellas and umbrellas came back and smiled as the raindrops blew on them.

""Oh no,"" said the raindrops falling from the sky.

""Oh no,"" said the sky. ""The rain won't come soon.""",nucleus,-0.4076
A book woke up and wanted someone to read it.,"But it was too late. The book was ruined. The book was ruined.

Lily was very sad. She cried and cried. She wished she had listened to her mom. She wished she had listened to her mom. She wished she had listened to her mom. She wished she had listened to her mom. She wished she had listened to her mom. She wished she had listened to","He ran to the kitchen and found a book. He opened it and found a toy car. He was very happy.

The toy car was broken. It had a picture of a bird on the table. It was shiny and had a picture of a butterfly. Ben wanted to show it to his friend, Sam.

He opened the box and saw a picture of a butterfly. He",beam,1.4421
A painter who could only paint dreams woke up one day in his own art.,"He wanted to paint a picture of a flower, but he didn't know how. He asked his mom for help.

His mom said, ""Don't worry, Timmy. We can paint it together.""

So, Timmy and his mom went to the store to buy some paint. When they got home, Timmy's mom gave him a big hug and said, ""","He went to the store and bought a new paint. It was so pretty and shiny. He painted it all day long.

But then, a naughty boy came and tried to take the paint off the paint. He made a big mess and started to paint. The painter was so upset that he started to cry.

His mom came in and saw what happened. She said, """,beam,0.0131
A snowman wondered where the birds go when winter ends.,"""Let's go and see the snowman,"" Lily said.

""OK, but be careful,"" Ben said.

They walked to the snowman and looked for the snowman. They saw a big snowman with a hat and a scarf. He was very happy.

""Hello, snowman!"" Lily said. ""Do you want to play with us?""","They saw a big box with a hat and a scarf. They wondered what was inside.

They went closer to the box and opened it. They saw a lot of snow inside. They had a lot of fun.

But then, something bad happened. The snowman had made a big hole and it was covered in snow. The snowman started to melt. The snowman melted",beam,0.7489
A dragon lost its fire and went on a journey to find it.,"As they walked, they met a little girl named Lily. Lily said, ""Hi, I'm Lily. Do you want to play with me?"" Lily said, ""Yes, I would love to play with you.""

Lily and the dragon played together all day long. They had so much fun. When it was time to go home, Lily said, ""Thank you for","They searched high and low, but they couldn't find it.

""Where's the dragon?"" Lily asked.

""I don't know, maybe it's a treasure,"" Max said. ""Let's go to the forest and find the dragon.""

They searched and searched, but they couldn't find the treasure. They searched and searched but they couldn't find it. They",beam,1.6080
A clock stopped ticking but still measured moments.,"Suddenly, the clock started ticking again. This time, the clock stopped ticking. The clock was ticking again, and the clock was ticking again. The clock was ticking again, and the clock was ticking again. The clock was ticking again, and the clock was ticking again. The clock was ticking again, and the clock was ticking again.Once upon a time, there was a little girl","The clock was so happy that it was safe.

The clock was so proud of itself. It was a happy little girl, and it was the best day ever!Once upon a time, there was a big, heavy clock. It was very heavy. It was so heavy that it could carry.

One day, the clock saw a little girl. She wanted to lift it up",beam,0.3128
A cat learned to read human stories.,"One day, he went to the park with his mom. He saw a big tree with many leaves. He wanted to climb the tree and see what was on the other side.

He climbed the tree and reached for the tree. He was very happy. He climbed the tree and reached the top. He looked down and saw a big bird. The bird was singing a pretty song. The","She wanted to know more about the human. She decided to try and find a way to read. She walked and walked until she came to a clearing. There was a big, scary cat. The cat was hungry and wanted to eat the food.

She went back to her mom and said, ""Mom, I'm sorry, honey. I wanted to eat it.""

Her mom",nucleus,-0.5302
A fish dreamed about walking on land.,"He was so excited to see the fish swimming in the water. He swam and swam until he saw a big fish. The fish was so happy to see the fish.

The fish said to the fish, ""Hello, little fish! What are you doing here?""

The fish replied, ""I am looking for food. I am looking for food.""

The fish","He was so excited to see it.

The fish had never seen a fish before. He swam closer and closer, until he reached a big, beautiful, golden fish!

The fish was so happy! He swam back to the shore and started swimming. The fish felt so free and happy. He realized that he was going to make the fish happy. 

The",nucleus,-0.6122
A dog learned how to write letters.,"She wrote, ""I love you, Tom. You are a good writer. You are a good writer.""

Tom was happy. He liked to write. He wrote, ""I love you, Lily. You are a good writer. I love you.""

Lily smiled. She said, ""I love you too, Tom. You are a good writer. You are a good","He wrote and wrote, ""I love you"" on a big envelope. It is a letter from Grandma. She sent it to her grandma's house. She wrote a letter to her grandma and she was very happy.

""Thank you, Grandma. I love you, grandma. Thank you, grandma."" Tom said.

Grandma hugged Tom and said, ""You are",beam,0.1673
A lantern floated into space to look for the sun.,"It was so pretty and sparkly.

""Wow, look at that star!"" Lily said. ""It's so pretty!""

""Yes, it's very pretty,"" said Lily. ""But it's very pretty.""

""I don't know,"" said her mom. ""Maybe it's a gift for you.""

Lily and her mom went to the living room","The pumpkin was so bright and it made the little girl smile. She was so happy to have found the pumpkin and shared it with her friends. 

From then on, the pumpkin was even more careful when exploring the world around her. And whenever she was feeling sad, she would remember the special pumpkin.Once upon a time, there was a little girl named Lily. She was very hungry",beam,0.6324
A lonely robot started writing poems to the stars.,"The robot said, ""Hello, I am Tom. Do you want to play with me?""

The robot said, ""Yes, I do. Do you want to play with me?"" The robot said, ""Yes, I want to play with you. I want to play with you. I want to play with you.""

The robot said, ""Okay, I will play with","It made her feel special. She looked up and saw that it was a magical spell!

The robot was very happy and excited. It wanted to sing and dance. So it said, ""I want to sing and dance with my friends. I have a great time."" The robot smiled and said, ""I want to be your friend!"" 

So, they all danced together and",beam,0.2439
A child built a friend out of starlight.,"The child was so happy and thanked the child for being so kind.

The child smiled and said, ""You're welcome. I'm glad I could help.""

The child smiled and said, ""You're welcome. I'm glad I could help.""

The child smiled and said, ""You're welcome. I'm glad I could help you.""

The child smiled","The child was very excited and smiled at the child.

The child watched them until it was time for dinner. The child was so happy that the child had saved the day. She was so grateful for her friend and thanked him for being such a good friend.Once there was a little girl named Sarah. She was only three years old. Sarah liked to play and explore the world around her",beam,0.0330
A butterfly got trapped in a museum and wanted to escape.,"But the butterfly was too fast and flew away. Lily was sad and didn't know what to do.

Suddenly, a kind lady appeared and said, ""Don't worry, little one. I'll help you find your way home."" Lily was so happy and thanked the lady. From that day on, Lily and the lady became good friends and played together every day.Once upon a time","He looked around and saw a big puddle. He thought it would be fun to jump in. So, he crawled into the big puddle and jumped in. The water was happy and free. He felt safe and free.

But then, he heard a loud noise. It was a big truck. The truck had many boxes on it. The driver wanted to get out and take a",beam,0.5135
A kite wanted to touch the clouds.,"She asked her mom, ""Can I touch the kite?"" Her mom said, ""No, you can't touch it. It is too high for you.""

Lily was sad. She wanted to touch the kite. She asked her mom, ""Can I touch the kite?"" Her mom said, ""No, you can't touch the kite. It is too high","He looked up and saw a kite fly in the sky. He felt happy. He watched the kite fly in the sky and the wind. He felt like he was flying.

He saw a big bird flying in the sky. He saw a big cloud in the sky. He smiled. He wanted to fly like the kite. He flew high in the sky. He was flying",beam,0.7510
A tree grew leaves made of glass.,"It was so pretty and sparkly.

""Wow, look at this!"" Lily said. ""It is so pretty!""

""Can I touch it?"" Ben asked.

""No, it's mine!"" Lily said.

They started to argue. They pulled and tugged on the glass. The glass broke and the glass fell on the floor.

""Oh","It was very hot and it smelled so good.

One day, a little boy came to the tree and started to climb. He was so excited, he wanted to climb the tree. He said to himself, ""I want to climb the tree!"" 

But the tree was too strong. He climbed higher and higher until he reached the top of the tree. He was so happy",beam,0.7161
A painter found colors that could change the weather.,"The painter was very happy and said, ""Thank you, painter. You are very kind."" The painter smiled and said, ""You're welcome, painter. I'm glad you like painting. Now, let's go home and have some fun.""Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she went to the park","She wanted to make friends with the painter. She said, ""You need to paint and paint to paint a flower. You need to be kind and creative. You need to be kind and gentle.""

Lily and Max nodded. They took the painter and the painter and gave him some paint and water. They painted and painted and painted. They painted a beautiful house, with bright colors.",nucleus,-0.1141
A little boy wanted to learn how to speak to animals.,"He asked his mom, ""Can you teach me how to teach me how to teach you how to teach me how to teach you how to teach me how to teach me how to teach you how to teach me how to teach me how to teach me how to teach me how to teach you how to teach me how to teach you how to teach me how to teach you how to teach me how to","He was very smart and loved to learn new things. One day, he went to the park with his mom. He saw a big statue with a picture of a clown on it. The clown was very big and had many colors.

The clown was very happy. He wanted to learn more about the clown and the clown. But he did not know that the clown was real and had a",nucleus,-0.4204
A piano learned to play itself when no one was watching.,"One day, a little girl named Lily went to the park with her mom. She saw a big slide and wanted to go on it.

""Mom, can I go on the slide?"" Lily asked.

""Sure, but be careful. Don't go too close to the slide,"" her mom said.

Lily climbed up the ladder and slid down the slide. She","It was a very big, and it was very loud. It was so loud that it made a loud noise.

""What is that?"" Lily asked.

""It's a scary movie,"" Mom said. ""It's just a little bit, but it's not a toy. It's just a toy.""

Lily was scared. She wanted to try the film,",nucleus,-0.6672
A girl who could talk to shadows asked them what they dream about.,"The girl smiled and said, ""That sounds like a great idea! Let's go to the park and have some fun!""

So the girl and the girl went to the park. They played on the swings and the slide. They had so much fun!

At the end of the day, the girl said goodbye to the park and went home. She was so happy to","The girl said that she wanted to go back to the castle, but she didn't know how.

Then one day, her mother said that if she had a plan, she would make a new castle. The castle was so tall that it filled the castle with sand and shells. The girl was so excited to have the castle that she had made.

The next day, the girl",beam,0.4603
A raindrop landed in a desert and began an adventure.,"""Oh no!"" said the voice.

""Don't worry,"" said the voice. ""I'll help you.""

The voice said, ""I'll help you find your way home.""

The voice said, ""I'll help you find your way home.""

The voice said, ""I'll help you find your way home.""

The voice said","It was a beautiful, sunny day and the sun was shining brightly. Little Sally saw a beautiful flower that was glowing in the sunshine.

""Wow,"" said Mommy. ""This flower is so pretty,"" said Mommy. ""Let's pick it up and take it home.""

Little Sally was so excited that she couldn't help but smile. She took the flower home and showed",beam,1.2530
A fox opened a bakery in the forest.,"He was so excited to see what was inside.

When he got there, he saw lots of yummy treats. He wanted to eat them, but he didn't know what to do. So, he decided to ask his mom for help.

When they got to the bakery, they saw a big cake. They were so happy! The baker said, ""Thank you, thank","He saw the pie and wanted it for himself. He wanted to eat it, but he couldn't find anything. He asked his friends for help.

The fox was very happy. He said he would help the fox find some other animals to help him. He was so kind and compassionate. He said, ""Hello, fox. Why are you so lonely?""

The fox looked at",nucleus,-0.8778
A star fell into the ocean and became a pearl.,"The oyster was very sad and didn't know what to do. But then, a kind man came and helped the oyster. The oyster was very happy and thanked the oyster. From that day on, the oyster and the oyster became good friends and played together every day.Once upon a time, there was a little girl named Lily. She loved to play with her toys","She was so excited that she quickly grabbed the pearl.

The pearl flew into the sky, feeling the warmth of the sunlight on the pearl. But, when it turned out, it suddenly disappeared.

The next day, the pearl reappeared! Everyone was very happy and thanked the oyster for the fish. 

The end.Once upon a time, there was a little",nucleus,-0.2916
A baker forgot the recipe but remembered the smell.,"He knew he had to be patient and wait for the next time.Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toys and run around outside. One day, Timmy's mom asked him to clean up his toys. Timmy didn't want to clean up his toys, but he knew he had to listen to his mom.","She quickly opened the door and saw that the cake was not hers. She was so happy to have it back and she thanked her mom for buying her a delicious cake.Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in the rain. One day, Timmy saw a big, yummy cake in the kitchen. He wanted to try it,",beam,0.4899
A clockmaker built a time machine by accident.,"He was very sad. He didn't know what to do.

Suddenly, he heard a voice. It said, ""Don't worry, little one. I'll help you.""

The little boy was so happy. He thanked the little boy and said, ""You're welcome, little one. I'm glad you're okay.""

The little boy smiled and said, ""","It's important to stay safe."" 

Teddy was so happy and grateful to the little robot and the little girl were so happy that they could help. She knew that even though it was a little bit boring.Once upon a time, there was a girl named Lily. She had a pet cat named Mittens. One day, Mittens wanted to have an exam. Lily was scared",nucleus,-0.4615
A young inventor wanted to build a friend.,"She asked her mom for help. Her mom smiled and said, ""Yes, you can help me build a big tower.""

The little girl was so excited. She said, ""Thank you, mom! I love my tower!"" Her mom smiled and said, ""You're welcome, sweetie. I'm glad you like it.""Once upon a time, there was a little girl named","She asked her dad for help. Her dad said yes and they went to the office together. 

The boy was so excited. He got to work with his dad and they worked together to make the office work. The office was very beautiful. 

The boy was so happy with his dad. He thanked the office and drove home. The office was full of people.Once upon",nucleus,-0.6930
A paper airplane flew around the world.,"It was so much fun!

But then, something bad happened. A big storm came and destroyed the airplane. The airplane was destroyed. The people were sad and scared. They didn't know what to do.

Then, a kind lady saw the airplane. She said, ""Don't worry, little one. We can fix it together."" The lady smiled and said, ""Thank","The airplane was so happy to be in the sky. 

The plane was happy. It had lots of friends to fly and sing. They all danced and sang. The plane kept going higher and higher. 

Finally, the plane got back and flew back to the airport. Everyone was so excited! They had to get on the plane and the plane was so excited to fly around",beam,1.0522
A dragonfly wished it could breathe underwater.,"But it was too late. The dragonfly was gone forever. The dragonfly was gone forever.Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in the sunshine. One day, Timmy's mom took him to the park to play. Timmy was so excited to play on the swings and slide down the slide.

As Timmy","So the dragonfly went away and the dragonflyflyfly kept its friend safe and flew away. The dragonflyflyfly waved back and said ""byeflyflyflyflyflyflyflyflyflyflyfly! 

The dragonflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyflyfly",nucleus,-0.0267
A cloud tried to become a mountain.,"But the cloud was too strong and it couldn't move. The cloud was sad and didn't know what to do.

Just then, a kind man came by and saw the cloud. He said, ""Don't worry, little cloud. I will help you."" The cloud was happy and thanked the cloud. From that day on, the cloud and the cloud became good friends.Once upon","It was too high for her to reach. But the cloud was too heavy and she couldn't reach it. She could not reach it.

Just then, her mom came and saw the cloud. She said, ""Mom, can you help me reach the cloud?"" Her mom smiled and said, ""Yes, it's just a cloud. It's a good cloud!""

So the",nucleus,-0.3466
A cat followed a butterfly into another dimension.,"The cat was so happy and thanked the cat for being so helpful. From that day on, the cat always remembered to be kind and helpful to others.Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in the sun. One day, Timmy's mom asked him to clean up his toys. Timmy didn't want to clean up his toys","The butterfly flew over the fence and landed on a tree. The butterfly was so happy to have a new friend to play with. They were both very happy and had a new friend.Once upon a time, there was a little girl named Lily. She loved to play with her toys and draw pictures. One day, she drew a picture of a unicorn on the wall. It was so pretty.",beam,0.5421
A violin string wanted to play its own song.,"She asked her mom if she could play the violin. Her mom said yes and gave her a big hug.

The little girl was so happy. She hugged her mom and said, ""Thank you, mom. I love you."" Her mom smiled and said, ""I love you too, my sweet girl.""Once upon a time, there was a little girl named Lily. She loved to","She wanted to see what was inside the violin. She asked her mom to help her, but her mom said no.

Her mom smiled and said she was proud of her for trying. She said she could help her mom, but she was not happy. She took the violin and she said she would buy a violin.

The next day, Lily went to the store with her mom",nucleus,-0.9722
A painter drew a door that really opened.,"He was so excited to see what was inside.

The painter showed the painter how to paint the walls and the walls. He painted the walls, the walls, the walls and the walls. He was so proud of his work.

The painter was very proud of his work. He had done a great job. He was very proud of his work.Once upon a time there was","He smiled at the painter and said, ""I'm glad you are safe. But you know that I should not touch the painter. It is not safe. It is a beautiful color. I hope you are safe and happy.""

The painter smiled back and said, ""I'm proud of you, painter. You are very brave and strong. You did a great job and you are brave",nucleus,-0.6345
A robot tried to dream like humans do.,"One day, the robot met a new friend. The robot said, ""Hello, robot! Do you want to play with me?"" The robot said, ""Yes, I want to play with you. Can I play with you?"" The robot said, ""Yes, I want to play with you. Can I play with you?"" The robot said, ""Sure, you can play with me.","She dreamed of flying in a big tree. She dreamed of flying and flying. She dreamed of flying and playing and having fun.

But then, she heard a loud noise. It was a big truck. It was coming towards her. It was coming closer and closer. Lily woke up and saw her mom and dad. They were scared and worried. They ran to their mom and hugged her",beam,0.9768
A candle learned it could shine without burning.,"Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toys all day long. One day, Timmy's mom asked him to clean up his toys. Timmy didn't want to clean his room, but he knew he had to clean up his toys.

Timmy's mom said, ""Timmy, you need to clean up your","He was very happy and he thanked the candle. He learned that sometimes things can be fun, and that being a good thing can make you happy.One day, a little boy named Tim went to the park with his mom. They saw a big tree with many branches. Tim wanted to climb it, but he was too small. So, he climbed the ladder and got to the top.",beam,1.0253
A shy ghost joined a birthday party.,"They played games and sang songs. They had a lot of fun.

At the end of the day, Lily and her mom went to the park. They saw a big slide and a swing. Lily wanted to go on it. She asked her mom if she could go on the slide. Her mom said yes, but be careful.

Lily climbed up the ladder and slid down","The ghost was very happy and danced with the ghost. They had so much fun. They became best friends and played together every day. And they lived happily ever after.Once upon a time, there was a little boy named Tim. Tim had a toy robot that he loved very much. He would drive his car on the street and take it for a walk.

One day, Tim saw",nucleus,-0.5183
